1.122276838345079333e-18 5.113960000000000150e+01
1.259505301885827339e-18 5.099130999999999858e+01
1.413513628079291120e-18 5.084693999999999647e+01
1.586353605478496173e-18 5.070067999999999842e+01
1.780327908853723988e-18 5.055447999999999809e+01
1.998020776765864046e-18 5.041109000000000151e+01
2.242332440296573401e-18 5.026467999999999847e+01
2.516517761614644717e-18 5.012058999999999997e+01
2.824229597144119602e-18 4.997809999999999775e+01
3.169567463043499920e-18 4.983160999999999774e+01
3.557132151345893530e-18 4.974638999999999811e+01
3.992087024388066982e-18 4.960461000000000098e+01
4.480226804128655412e-18 4.985716000000000037e+01
5.028054772806385907e-18 4.971285000000000309e+01
5.642869413451037613e-18 4.956797999999999860e+01
6.332861644521982496e-18 4.942040000000000077e+01
7.107223944090950948e-18 4.927711999999999648e+01
7.976272817384836228e-18 4.913212000000000046e+01
8.951586239272379515e-18 4.898666000000000054e+01
1.004615790278392538e-17 4.884431000000000012e+01
1.127457032865177685e-17 4.869919999999999760e+01
1.265348049593984463e-17 4.855581999999999709e+01
1.420070808504449438e-17 4.841434000000000282e+01
1.593675881028769736e-17 4.832274000000000314e+01
1.788545529107776533e-17 4.818117000000000161e+01
2.007243221643302827e-17 4.804044999999999987e+01
2.252682576575418739e-17 4.789533000000000129e+01
2.528191692928943939e-17 4.775529999999999831e+01
2.837330979870588940e-17 4.798132999999999981e+01
3.184270841427710214e-17 4.783473999999999648e+01
3.573633412351916439e-17 4.769254999999999711e+01
4.010606007418645843e-17 4.754894999999999783e+01
4.501010229853579950e-17 4.740440000000000254e+01
5.051379530118934403e-17 4.726321000000000083e+01
5.669046248342883603e-17 4.711946999999999974e+01
6.362239300022285021e-17 4.697704999999999842e+01
7.140193806423821825e-17 4.683675999999999817e+01
8.013274130244444125e-17 4.674318000000000239e+01
8.993111955683149898e-17 4.660249999999999915e+01
1.009276125250737773e-16 4.646291999999999689e+01
1.132687218863570312e-16 4.631900000000000261e+01
1.271188630820088707e-16 4.618010999999999910e+01
1.426625557536979415e-16 4.604106999999999772e+01
1.601068820214880649e-16 4.623642000000000252e+01
1.796842453523642652e-16 4.609550000000000125e+01
2.016554667744728761e-16 4.595344999999999658e+01
2.263132596866566368e-16 4.581002999999999759e+01
2.539861295567088519e-16 4.567007000000000261e+01
2.850427504624069331e-16 4.552788999999999930e+01
3.198968767821354439e-16 4.538647999999999882e+01
3.590128554715204240e-16 4.529458000000000339e+01
4.029118123638151875e-16 4.515209000000000117e+01
4.521785949115483201e-16 4.501256000000000057e+01
5.074695638646528666e-16 4.487420999999999793e+01
5.695213376903766787e-16 4.473169999999999646e+01
6.391606062332162012e-16 4.459411000000000058e+01
7.173151443581380736e-16 4.445658999999999850e+01
